Timestamp,Class,X,Y,Length,Width,Rotation,ID
0.0,3,4.494538,12.139535,4.567095,2.2061188,1.7543435001,3_0
0.0,3,12.626767,8.5864525,4.6002235,2.2345426,-1.3600265999,3_1
0.0,3,15.144869,-2.8785732,4.5,2.0686362,-1.4086805999,3_2
0.0,3,11.539407,-6.26178,4.5,2.017372,-1.4003067999,3_3
0.0,3,17.91245,-19.200344,4.68329,2.0789692,-1.3623595999,3_4
0.0,3,13.34963,24.342361,4.941311,2.2329586,-1.3966376999,3_5
0.0,3,5.518726,24.863544,4.5,1.9909022,-1.3744441998999999,3_6
0.1,3.0,4.685684,10.984425,4.567095,2.2061188,1.7522844,3_0
0.1,3.0,12.487698,9.353413,4.6002235,2.2345426,-1.3599461,3_1
0.1,3.0,14.862351,-2.0172842,4.5,2.0686362,-1.4085964,3_2
0.1,3.0,11.400019,-5.4099116,4.5,2.017372,-1.4002262,3_3
0.1,3.0,17.784826,-18.540972,4.68329,2.0789692,-1.362279,3_4
0.1,3.0,13.346163,24.343037,4.941311,2.2329586,-1.3965572,3_5
0.1,3.0,5.537773,24.903923,4.5,1.9909022,-1.3743638,3_6
0.1,3.0,1.4088714,30.254341,4.585365,1.9822787,1.7417240001,3_7
0.1,3.0,14.77101,-23.105406,4.5,2.03,-1.3751104999,3_8
0.1,6.0,-6.3784366,68.962456,7.4787064,3.039543,1.7269586001,6_0
0.2,3.0,4.88344,9.816657,4.567095,2.2061188,1.7505823,3_0
0.2,3.0,12.350957,10.116823,4.6002235,2.2345426,-1.3599789,3_1
0.2,3.0,14.652915,-1.1901736,4.5,2.0686362,-1.4157563,3_2
0.2,3.0,11.261063,-4.565028,4.5,2.017372,-1.400259,3_3
0.2,3.0,17.656765,-17.881687,4.68329,2.0789692,-1.3623118,3_4
0.2,3.0,14.613607,-22.26272,4.5,2.03,-1.3751435,3_8
0.2,3.0,5.5644565,24.936586,4.5,1.9909022,-1.3743966,3_6
0.2,3.0,1.6207068,29.175636,4.585365,1.9822787,1.7418246,3_7
0.2,6.0,-6.20697,68.13847,7.4787064,3.039543,1.7269156,6_0
0.3,3.0,5.083411,8.62743,4.567095,2.2061188,1.7498244,3_0
0.3,3.0,12.209298,10.877063,4.6002235,2.2345426,-1.359887,3_1
0.3,3.0,14.544457,-0.37387878,4.5,2.0686362,-1.4085311,3_2
0.3,3.0,11.118553,-3.7306068,4.5,2.017372,-1.4001671,3_3
0.3,3.0,17.528019,-17.216833,4.68329,2.0789692,-1.3622199,3_4
0.3,3.0,14.4577,-21.425974,4.5,2.03,-1.3750516,3_8
0.3,3.0,5.5896106,24.95737,4.5,1.9909022,-1.3743047,3_6
0.3,3.0,1.8303087,27.97732,4.585365,1.9822787,1.7417029,3_7
0.3,3.0,8.722378,30.447556,4.8880653,2.3662074,-1.4181449999,3_9
0.3,0.0,5.1666865,-26.8601,0.35,0.61399734,-1.3920758999,0_0
0.3,6.0,-6.0492525,67.327,7.4787064,3.039543,1.7269976,6_0
0.3,6.0,21.087198,52.73853,12.31958,3.5096173,0.2346877201,6_1
0.4,3.0,5.2901087,7.4169326,4.567095,2.2061188,1.7496203,3_0
0.4,3.0,12.068552,11.6288595,4.6002235,2.2345426,-1.3599241,3_1
0.4,3.0,14.507696,0.45961285,4.5,2.0686362,-1.3772423,3_2
0.4,3.0,10.974607,-2.9145935,4.5,2.017372,-1.4002043,3_3
0.4,3.0,17.397657,-16.54897,4.68329,2.0789692,-1.362257,3_4
0.4,3.0,14.302453,-20.60634,4.5,2.03,-1.3750889,3_8
0.4,3.0,5.617012,24.967916,4.5,1.9909022,-1.3743417,3_6
0.4,3.0,2.0412135,26.721754,4.585365,1.9822787,1.7413883,3_7
0.4,6.0,-5.883968,66.52555,7.4787064,3.039543,1.7269511,6_0
0.4,6.0,20.905056,52.704952,12.31958,3.5096173,0.23464848,6_1
0.5,3.0,5.4938498,6.190262,4.567095,2.2061188,1.7499433,3_0
0.5,3.0,14.351111,1.3354547,4.5,2.0686362,-1.3688669,3_2
0.5,3.0,10.825121,-2.1173277,4.5,2.017372,-1.4001392,3_3
0.5,3.0,17.264137,-15.872382,4.68329,2.0789692,-1.3621922,3_4
0.5,3.0,14.148514,-19.808237,4.5,2.03,-1.375024,3_8
0.5,3.0,13.342135,24.343622,4.941311,2.2329586,-1.3964702,3_5
0.5,3.0,5.6273527,24.974396,4.5,1.9909022,-1.3742769,3_6
0.5,3.0,2.2390776,25.473877,4.585365,1.9822787,1.7413988,3_7
0.5,6.0,-5.731422,65.7262,7.4787064,3.039543,1.7270076,6_0
0.5,6.0,20.73896,52.677925,12.31958,3.5096173,0.23471712,6_1
0.6000000000000001,3.0,5.698742,4.9503736,4.567095,2.2061188,1.7503493,3_0
0.6000000000000001,3.0,14.102516,2.2603514,4.5,2.0686362,-1.3805132,3_2
0.6000000000000001,3.0,10.675627,-1.3431486,4.5,2.017372,-1.4001582,3_3
0.6000000000000001,3.0,17.129581,-15.188638,4.68329,2.0789692,-1.3622111,3_4
0.6000000000000001,3.0,13.997956,-19.04078,4.5,2.03,-1.3750429,3_8
0.6000000000000001,3.0,13.343165,24.343384,4.941311,2.2329586,-1.396489,3_5
