Timestamp,Score,X,Y,Z,Length,Width,Rotation,Class,ID
0.0,1,4.494538,12.139535,0.70957774,4.567095,2.2061188,1.7543435,3,1
0.0,1,12.626767,8.5864525,1.1578104,4.6002235,2.2345426,-1.3600266,3,2
0.0,1,15.144869,-2.8785732,1.0647936,4.5,2.0686362,-1.4086806,3,3
0.0,1,11.539407,-6.26178,0.9585581,4.5,2.017372,-1.4003068,3,4
0.0,1,17.91245,-19.200344,0.9083457,4.68329,2.0789692,-1.3623596,3,5
0.0,1,13.34963,24.342361,1.5950881,4.941311,2.2329586,-1.3966377,3,7
0.0,1,5.518726,24.863544,1.1101146,4.5,1.9909022,-1.3744442,3,8
0.1,1,4.685684,10.984425,0.7176447,4.567095,2.2061188,1.7522844,3,1
0.1,1,12.487698,9.353413,1.1576836,4.6002235,2.2345426,-1.3599461,3,2
0.1,1,14.862351,-2.0172842,1.0797279,4.5,2.0686362,-1.4085964,3,3
0.1,1,11.400019,-5.4099116,0.9698439,4.5,2.017372,-1.4002262,3,4
0.1,1,17.784826,-18.540972,0.90378356,4.68329,2.0789692,-1.362279,3,5
0.1,1,14.77101,-23.105406,0.64356995,4.5,2.03,-1.3751105,3,6
0.1,1,13.346163,24.343037,1.5948141,4.941311,2.2329586,-1.3965572,3,7
0.1,1,5.537773,24.903923,1.1894813,4.5,1.9909022,-1.3743638,3,8
0.1,1,1.4088714,30.254341,0.7853734,4.585365,1.9822787,1.741724,3,9
0.1,1,-6.3784366,68.962456,2.1800408,7.4787064,3.039543,1.7269586,6,1
0.2,1,4.88344,9.816657,0.7247417,4.567095,2.2061188,1.7505823,3,1
0.2,1,12.350957,10.116823,1.1648042,4.6002235,2.2345426,-1.3599789,3,2
0.2,1,14.652915,-1.1901736,1.1217028,4.5,2.0686362,-1.4157563,3,3
0.2,1,11.261063,-4.565028,0.9790308,4.5,2.017372,-1.400259,3,4
0.2,1,17.656765,-17.881687,0.899,4.68329,2.0789692,-1.3623118,3,5
0.2,1,14.613607,-22.26272,0.68176985,4.5,2.03,-1.3751435,3,6
0.2,1,5.5644565,24.936586,1.250632,4.5,1.9909022,-1.3743966,3,8
0.2,1,1.6207068,29.175636,0.8862272,4.585365,1.9822787,1.7418246,3,9
0.2,1,-6.20697,68.13847,2.0844808,7.4787064,3.039543,1.7269156,6,1
0.30000000000000004,1,5.083411,8.62743,0.72641397,4.567095,2.2061188,1.7498244,3,1
0.30000000000000004,1,8.722378,30.447556,1.69944,4.8880653,2.3662074,-1.418145,3,14
0.30000000000000004,1,12.209298,10.877063,1.182476,4.6002235,2.2345426,-1.359887,3,2
0.30000000000000004,1,14.544457,-0.37387878,1.1391943,4.5,2.0686362,-1.4085311,3,3
0.30000000000000004,1,11.118553,-3.7306068,0.9831618,4.5,2.017372,-1.4001671,3,4
0.30000000000000004,1,17.528019,-17.216833,0.8950521,4.68329,2.0789692,-1.3622199,3,5
0.30000000000000004,1,14.4577,-21.425974,0.7159967,4.5,2.03,-1.3750516,3,6
0.30000000000000004,1,5.5896106,24.95737,1.2742984,4.5,1.9909022,-1.3743047,3,8
0.30000000000000004,1,1.8303087,27.97732,0.9055452,4.585365,1.9822787,1.7417029,3,9
0.30000000000000004,1,5.1666865,-26.8601,0.18166123,0.35,0.61399734,-1.3920759,0,1
0.30000000000000004,1,-6.0492525,67.327,1.9917957,7.4787064,3.039543,1.7269976,6,1
0.30000000000000004,1,21.087198,52.73853,3.8320704,12.31958,3.5096173,0.23468772,6,2
0.4,1,5.2901087,7.4169326,0.72114843,4.567095,2.2061188,1.7496203,3,1
0.4,1,12.068552,11.6288595,1.2167897,4.6002235,2.2345426,-1.3599241,3,2
0.4,1,14.507696,0.45961285,1.1024241,4.5,2.0686362,-1.3772423,3,3
0.4,1,10.974607,-2.9145935,0.98101574,4.5,2.017372,-1.4002043,3,4
0.4,1,17.397657,-16.54897,0.89111525,4.68329,2.0789692,-1.362257,3,5
0.4,1,14.302453,-20.60634,0.7406455,4.5,2.03,-1.3750889,3,6
0.4,1,5.617012,24.967916,1.2681721,4.5,1.9909022,-1.3743417,3,8
0.4,1,2.0412135,26.721754,0.8974331,4.585365,1.9822787,1.7413883,3,9
0.4,1,-5.883968,66.52555,1.9086596,7.4787064,3.039543,1.7269511,6,1
0.4,1,20.905056,52.704952,3.8229313,12.31958,3.5096173,0.23464848,6,2
0.5,1,5.4938498,6.190262,0.7077767,4.567095,2.2061188,1.7499433,3,1
0.5,1,14.351111,1.3354547,1.1097544,4.5,2.0686362,-1.3688669,3,3
0.5,1,10.825121,-2.1173277,0.9808472,4.5,2.017372,-1.4001392,3,4
0.5,1,17.264137,-15.872382,0.8931394,4.68329,2.0789692,-1.3621922,3,5
0.5,1,14.148514,-19.808237,0.7566153,4.5,2.03,-1.375024,3,6
0.5,1,13.342135,24.343622,1.5960343,4.941311,2.2329586,-1.3964702,3,7
0.5,1,5.6273527,24.974396,1.2434578,4.5,1.9909022,-1.3742769,3,8
0.5,1,2.2390776,25.473877,0.91013473,4.585365,1.9822787,1.7413988,3,9
0.5,1,-5.731422,65.7262,1.8311732,7.4787064,3.039543,1.7270076,6,1
0.5,1,20.73896,52.677925,3.814011,12.31958,3.5096173,0.23471712,6,2
0.6000000000000001,1,5.698742,4.9503736,0.6852299,4.567095,2.2061188,1.7503493,3,1
0.6000000000000001,1,14.102516,2.2603514,1.1509583,4.5,2.0686362,-1.3805132,3,3
0.6000000000000001,1,10.675627,-1.3431486,0.9879129,4.5,2.017372,-1.4001582,3,4
0.6000000000000001,1,17.129581,-15.188638,0.8966223,4.68329,2.0789692,-1.3622111,3,5
0.6000000000000001,1,13.997956,-19.04078,0.7564589,4.5,2.03,-1.3750429,3,6
0.6000000000000001,1,13.343165,24.343384,1.5966979,4.941311,2.2329586,-1.396489,3,7
